"RelativePath","Bytes","MB","Extension","SHA256","LastWrite"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-cooperlake.dll","1434624","1.368",".dll","b726f7689ec7b5f5b67aa37bacb8c36348450f535aaf86f68a6756b9f90c98a0","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-haswell.dll","1235968","1.179",".dll","97302fa13b3fd496828e6f4936ac01433532880cf8277de6bc8b0117add0b816","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-icelake.dll","1440768","1.374",".dll","d29a2b47db63d0acb29ca6314cc4a9e0579592d0bbde42926bcab525296bd464","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-ivybridge.dll","1127424","1.075",".dll","b742628d4a73f24dad4a4c516d8600b7d50d2e7c07cf6011592bb0f0bda45349","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-piledriver.dll","1131520","1.079",".dll","04540f47f6a6d1ccabbb9a92470a9d27ddff6c47cb015b38f9383ac83a93fc5f","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-sandybridge.dll","1107968","1.057",".dll","96d99740a206893d081e61a2e2c32ea2b999be0cc82410182e232d2d8041a392","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-sapphirerapids.dll","1711616","1.632",".dll","858ea2d8375a94d61d9a80e98ef8f8a88f1ef7c537e98eb69752129fab7cedd2","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-skylakex.dll","1441792","1.375",".dll","2b6ac583bbea84b6649ebfbf771907df208c9bfac33d024adb430a853018b396","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-sse42.dll","932352","0.889",".dll","5c23106448a1edfb2683fcc955df017e8e4bdb3330114afa948c1870f8d7a91f","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-x64.dll","924160","0.881",".dll","9241c4023de3b08eadcb56314bf51ac2bd338b12c4008fa4950c30068c11afb6","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-zen4.dll","1441280","1.375",".dll","b8f6bd5d70bc608cd2d752ae74bbf85925c2945267bb0eded15aab324ff9716a","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-rpc.dll","168448","0.161",".dll","39948a2e2e40454421ac819cda1b4da56a12df93e2c00c2ebdd24df2c448c857","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-rpc-server.exe","101376","0.097",".exe","ba1633b9cbca15198fddc161b17a1fcedad26a103bb8b7e074fd58c365a30614","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\libomp.dll","768000","0.732",".dll","a12116ba72d1d6820407cf30be23da04ce79d6bb8a71a5ee71759c5a1faa6f1c","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\LICENSE-LLVM-OpenMP","19741","0.019","","fdad1758a9e1f9d5a81e18879b3406772115edc92c24bfa36b70c654f325e8e4","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama.dll","3154944","3.009",".dll","d5fed9f3fe95f03dce3714500903763356122faf1ae98a6179e6490f090c3798","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama.exe","103936","0.099",".exe","abf77f8c2b5a22e603ea0dee0b1d06690af24526881d374accdcc1dfc04af469","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-batched-bench.exe","9216","0.009",".exe","27d2d28244b7cfc9746db897ce3e1cc1f51b14ac275267292d0a2fa2e304d04e","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-batched-bench-impl.dll","61440","0.059",".dll","ae139d30f4aa2a6b47279e6b9d1848c69f8ac7572c1f3ef3b9a239900fcc8c01","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-bench.exe","9216","0.009",".exe","d0636452b8e3a283ea01df5decff1da745f459032b5b7dd7e7531ee211af157e","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-bench-impl.dll","397824","0.379",".dll","52b07f0fd3a6004b2de6485c1f7f8f5438bf3709eea14dfcd30fc4ec2f57f067","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-cli.exe","9216","0.009",".exe","0b3cbc08a0a6c81dd83d347ca6e43504ff6105dd995626ea38a30722c44e7aac","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-cli-impl.dll","3296768","3.144",".dll","4d35886296714799c6ca5aece1ef3e036da7982abacd1056fdf6424a31f13b61","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-common.dll","7772672","7.413",".dll","a9590b558f417f54d17fc688961959b3f4a95038195732adc41faab1999b69e3","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-completion.exe","9216","0.009",".exe","d7c0aac260b64f92e8e0d387218af0b3fb541ee49713d2fee89246655d33144a","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-completion-impl.dll","133632","0.127",".dll","04526c3dfea986a6e058609fb7d2944612b4f9f7fd5a50235e3b60fd4fbe2d94","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-fit-params.exe","9216","0.009",".exe","e7ab857ccec38f47e2ec0f5614d1a9e6fe277d66790493c4061dc785559ce395","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-fit-params-impl.dll","41472","0.04",".dll","567911c481d9d6d9111b128de622bd9e1a201fe2fb6f060034b030794cc861a2","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-gemma3-cli.exe","27136","0.026",".exe","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-gguf-split.exe","60416","0.058",".exe","950cd098e4d27615095d367d8e2684b1a98460ad4638f35b1d1a35d6bead4ffb","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-imatrix.exe","255488","0.244",".exe","e0e9e595dd47e6ec99ebe03b4ab8ad65fb13971579d1e0fd2c562fa4e7adbe9a","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-llava-cli.exe","27136","0.026",".exe","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-minicpmv-cli.exe","27136","0.026",".exe","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-mtmd-cli.exe","90112","0.086",".exe","534fa7f35332a866fbf98f28ae80cb9e4801714289efdd7cb447b485f1a9ad9e","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\llama-mtmd-debug.exe","55296","0.053",".exe","c7cbeabe53c3f5bedb3a22b83dc24f7939b8410e68b552eab19f612f1f3ec9fa","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-perplexity.exe","9216","0.009",".exe","cc9b6422ac9bb7aaba390ecf19fc3d6d73e38072cfc87cae5e0ed6d7087f3c39","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-perplexity-impl.dll","194048","0.185",".dll","52a6213fcb4f06494c8c0b72d52d863124877f4cf87301375a2fe0fa4b075fe2","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-quantize.exe","9216","0.009",".exe","ff306a447997d2c1deed5b02d1347580ea41dc8c3803fa33b93686ef91700653","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-quantize-impl.dll","137216","0.131",".dll","bcaa4cf05a476f06a09f3911f84b6e2576280b5fd9f23e775c9997b4fce7b8f3","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-qwen2vl-cli.exe","27136","0.026",".exe","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-results.exe","46080","0.044",".exe","ae0e7ef1c6e07265eaa1ce313190ba0492eb6628d111221e17e8e53e1ceb2ae5","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-server.exe","9216","0.009",".exe","aa2e1f5c67be55f11be26ae58d643a545ca07c6de498f6f870330ac2f4dfec73","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-server-impl.dll","8904192","8.492",".dll","16913f79cdf57f0f80e618aeff139aa0ae096f8f935b06a02510c556e976d9d4","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-tokenize.exe","58368","0.056",".exe","49ac76768cc968b55096c3a2e97e7d5a5f1078c76f8ab06e1f79461eb9543fbb","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\llama-tts.exe","41472","0.04",".exe","f2468fc05543d1454d17c0f8c39d56e72bcaef556e6e717f758608a1fa736dd1","2026-09-20 07:25:07"
"llama-b10964-bin-win-cpu-x64\mtmd.dll","1772032","1.69",".dll","5a8a0e95ea7b3da360e1ace6325fa441834a2b01fbe9c50639fb7f0c5d57c479","2026-09-20 07:25:07"
"MAGNITUDE_ANALYSIS.py","3190","0.003",".py","ffb03a70321eb8e422251348844a9dc2108b5e46e0b5607a6962d6557d9fa650","2026-09-20 14:02:26"
"MAGNITUDE_CORPUS_GENERATION_LOG.json","28055","0.027",".json","e268b89393cdd7c3f7cae73839e68bb4a94b3df00cf5c64ce821b8adc3fb342d","2026-09-20 14:03:27"
"MAGNITUDE_CORPUS_GENERATOR.py","4355","0.004",".py","ce9ddb1a3f11521cb862ca5e8fc77f24f812458d9683d81b32701978316cd6f3","2026-09-20 14:02:22"
"MAGNITUDE_CORPUS_MANIFEST.json","115023","0.11",".json","ae5995373a474450991dceac187dc38f233a4fcc1578c96c4b94fc70bcda0b50","2026-09-20 14:03:27"
"MAGNITUDE_EXECUTION_001\ANALYSIS.json","1750","0.002",".json","bb1568a4cba34b1a72a52d7fb1a7d982336e9f27ffb60aeac17ca617a7a9da6e","2026-09-20 14:49:49"
"MAGNITUDE_EXECUTION_001\EXECUTION_RECORD.json","1345","0.001",".json","7ce6e3d87838d73dbac5b9c32cbfdaeba7244ba8cbe9114eefe76bd4ec3e7e73","2026-09-20 14:33:14"
"MAGNITUDE_EXECUTION_001\LOGS.jsonl","332580","0.317",".jsonl","de198b1e2cc207325a89154533d1d03d6bc209a23787694df85f78fa8dabdd5c","2026-09-20 14:49:49"
"MAGNITUDE_EXECUTION_001\RAW.jsonl","188820","0.18",".jsonl","1e4f6168e8ee4bc4f6bfa96d12d5abc85c56ab54406fd72bdb20242cf333af29","2026-09-20 14:49:49"
"MAGNITUDE_EXECUTION_001\SCORES.jsonl","60360","0.058",".jsonl","775f859cc847e1b25eee7a22507021f5e62408e633721f34d6dcf1ae6335586b","2026-09-20 14:49:49"
"MAGNITUDE_EXECUTION_PLAN.json","145115","0.138",".json","f8f62f5d976b958d6d93550dbb3bd6affe8f92111c2b1fa5ef3e0f588dd328b7","2026-09-20 14:03:27"
"MAGNITUDE_FINAL_FREEZE_MANIFEST.json","3586","0.003",".json","d25558549c4644043003963c44acd06813a6d3a117c7259c961f2d96cf354215","2026-09-20 14:04:45"
"MAGNITUDE_PAIR_ANALYSIS_ADAPTER.py","5835","0.006",".py","a0b04f2b581786f9d85100c9415576c8fb5c134ae543b99fb3eaf1a7a7437a70","2026-09-20 14:16:42"
"MAGNITUDE_PARSER_SCORER.py","1815","0.002",".py","2dd8bf7b1fc2c4183b35c666998dc45da56f429f0c2c8a854b0ea93ea9985712","2026-09-20 14:02:24"
"MAGNITUDE_RUNNER_PREEXEC_RECORD_v1.json","1242","0.001",".json","81a615917c90f34a5a740317e3b803825b6682802b0493d5131ebe101363c8c4","2026-09-20 14:30:31"
"MAGNITUDE_SCORE_ADAPTER.py","6615","0.006",".py","972d18b846e9ac95f9186da4cdc51c217830f125921d1f63c9dcd56364cd38a8","2026-09-20 14:16:40"
"MAGNITUDE_TARGET_CONFIGURATION_MANIFEST.json","2908","0.003",".json","c8cf2e18efeb051564ded2b411572c69f5a6efd8457f32be5c4a24a81672af25","2026-09-20 14:03:17"
"PAIRWISE_EXECUTION_005_ANALYSIS.json","63526","0.061",".json","cd609ae6dc7b56a4b64e84ff8685a4e83161e1c925f7444bdb8b8420d9373936","2026-09-20 12:43:04"
"PAIRWISE_EXECUTION_005_ANALYSIS.md","4986","0.005",".md","a3a02120525b84671b4144a3c62398434048d94f36a5bf5ba13db1f7166d7720","2026-09-20 12:43:04"
"PARSER_SCORER.py","11178","0.011",".py","f4c8c76afe1baef4d17d0aba31fb44a2d0fca02e96ae92d1bfc982435ba828f5","2026-09-20 07:14:29"
"PROSPECTIVE-DIAG-2ARM-01_FROZEN.md","11743","0.011",".md","040731c7a3c82ebda77c7b026abfc80c647d171352b7de6f614689816b00e04e","2026-09-20 05:59:50"
"PROSPECTIVE-DIAG-2ARM-01_v0.2_FREEZE_MANIFEST.json","4493","0.004",".json","e62a2d6cc7901c0592b1ef3e659ae2cf4b33f74c637c186cb55ca663b05b3394","2026-09-20 09:20:40"
"PROSPECTIVE-DIAG-2ARM-01_v0.2_PREOBS_PATCH.md","5669","0.005",".md","53414251ac97a5317f2193f88b02c37ea0c8e364d8a6de4b63f4488f16197aa0","2026-09-20 09:20:31"
"PROSPECTIVE-DIAG-2ARM-01_v0.3_FREEZE_MANIFEST.json","5283","0.005",".json","9c4cc0ca0380788206793b67bd2394a68a8898fede9128396bd5800d8da921b1","2026-09-20 10:52:05"
"PROSPECTIVE-DIAG-2ARM-01_v0.3_PREOBS_PATCH.md","6069","0.006",".md","bde31549d8ab52fca15bfde6458eb7349bd1b8696fdb8d370ebfd63ce3171d53","2026-09-20 10:52:02"
"PROSPECTIVE-DIAG-2ARM-01_v0.4_FREEZE_MANIFEST.json","6007","0.006",".json","ec0d065a7ffdde793b459680a56e412edf9d842edae1e2b064b5d6d8b9b5f5fb","2026-09-20 11:28:36"
"PROSPECTIVE-DIAG-2ARM-01_v0.4_PREOBS_PATCH.md","7153","0.007",".md","dbabf626671e45ba747d8344fd3921a81f2fdc06c97bfae64179a704ade4f134","2026-09-20 11:28:33"
"PROSPECTIVE-MAGNITUDE-01_EXECUTION_001_RESULT.md","4918","0.005",".md","07a882713dac6cc98159acd420e407daad61a67aedd486f8df0d454a216ab534","2026-09-20 15:04:19"
"PROSPECTIVE-MAGNITUDE-01_v0.1_FROZEN.md","3819","0.004",".md","9bab675eb157a51091c3c20a11304d62150e01b42c74850c46e3f8f14912c48f","2026-09-20 14:03:19"
"PROSPECTIVE-MAGNITUDE-01_v0.2_FREEZE_MANIFEST.json","4418","0.004",".json","6e85cc2f8fec800bc970e2a54191660789f4fea633a12d3a253c5bca3f7df236","2026-09-20 14:18:38"
"PROSPECTIVE-MAGNITUDE-01_v0.2_PREOBS_IMPLEMENTATION_PATCH.md","6804","0.006",".md","3bb2d08ce9d50b58704f2b9e3c73e7424c670e4a17f9730fe97da5b6fbe20789","2026-09-20 14:17:31"
"qwen2.5-3b-instruct-q4_k_m.gguf","2104932768","2007.42",".gguf","626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d","2026-09-20 07:06:02"
"RUN_PROSPECTIVE_DIAG_2ARM_01.py","17470","0.017",".py","b5a88c45ab38bf85e28d82ee43556ad6383a2dc500093508216ff0f0dc7f93f6","2026-09-20 09:29:37"
"RUN_PROSPECTIVE_DIAG_2ARM_01_v2.py","17499","0.017",".py","2a9c904cef21511039ed85ba7b7cc02f61ac2aa01889c5077ca6ab224cc6d9b1","2026-09-20 09:51:23"
"RUN_PROSPECTIVE_DIAG_2ARM_01_v3.py","17525","0.017",".py","bdf5aac913f656c262807fb15abd39f267e77a62e3426c9c4ef6329c8492047c","2026-09-20 10:13:37"
"RUN_PROSPECTIVE_DIAG_2ARM_01_v4.py","19960","0.019",".py","d8afc3ed1370d66e11a042375314ceb326608aa46463bc2fbb5b868b044b2f0a","2026-09-20 11:01:06"
"RUN_PROSPECTIVE_DIAG_2ARM_01_v5.py","20780","0.02",".py","95554884df2d85a59d2b9c96004ead7666d8bac98973ecab93de436148972e2e","2026-09-20 11:33:56"
"RUN_PROSPECTIVE_MAGNITUDE_01_v1.py","15157","0.014",".py","caababd9a7580e42fc6f2bc9f39bc0de6438db6a96b1ebd4d60117e8f689c0a0","2026-09-20 14:26:43"
"RUNNER_PREEXEC_RECORD.json","738","0.001",".json","2dbb5a8d646bdc897fc25cf92416c47d434bb1605b61e2ff365590e3cad780ed","2026-09-20 09:30:11"
"RUNNER_PREEXEC_RECORD_v2.json","741","0.001",".json","0f1d7b1948634a25eaef540e7c82bd8d50d1a9c2d6781921b68989fc2a998a35","2026-09-20 09:51:34"
"RUNNER_PREEXEC_RECORD_v3.json","741","0.001",".json","d1e4f0be25c6c1965642d6e80ac9a87814937fc7514dab5cf41e6385de16e1f5","2026-09-20 10:14:17"
"RUNNER_PREEXEC_RECORD_v4.json","842","0.001",".json","3dad532a60a6b23c7c002408f6d0a0c036122f0a75875714c7f33d814ceb752a","2026-09-20 11:02:33"
"RUNNER_PREEXEC_RECORD_v5.json","943","0.001",".json","0890d16496e88cbcff9fd356eaae32b3b2fccf663a536f4258ee2434c0908002","2026-09-20 11:35:49"
"RUNTIME_BUNDLE_HASHES.csv","5053","0.005",".csv","5e929ddc57aec4e4fc8e6594fa19eb6660a9cd8f909de808c34b4ad4780c2ffa","2026-09-20 09:14:50"
"SMOKE_CLEAN_STDOUT.py","1455","0.001",".py","a40a8fe73853231af00a500544b3afda13ecaa70f41d166bac0a73b575aabe43","2026-09-20 10:47:46"
"TARGET_CONFIGURATION_MANIFEST.json","3611","0.003",".json","c130a1a101b75076efebeee0b659e146f1107f7feaee52da0ba2aa9c2b8b9376","2026-09-20 07:35:22"
"TRACE_INTEGRITY_AUDIT_EXECUTION_005.json","69023","0.066",".json","5f9df5b5873e695d527f3d26edc1161213d5849bee0a4902fcdfbee49cd6e1c8","2026-09-20 12:29:41"
